ID	Name	VIAF	Gender	Birth	Death	Title	Subtitle	Printed	Digitised	Period	Size	Canon	Words	Tokens
SLV00024	Bedenek, Jakob	viaf:84381657	M	1850	1916	Od pluga do krone	Zgodovinski roman iz minulega stoletja	1891	2015-04-03	T3	medium	low	81219	99073
SLV00048	Govekar, Fran	viaf:51812691	M	1871	1949	V krvi		1896	2015-04-03	T3	medium	high	50462	62424
SLV00058	Kersnik, Janko	viaf:34746806	M	1852	1897	Ciklamen	Roman	1883	2015-04-03	T3	short	high	37041	46451
SLV00072	Meško, Ksaver	viaf:62359223	M	1874	1964	Kam plovemo		1897	2015-04-03	T3	medium	high	69032	83404
SLV00090	Štrukelj, Ivan	conor:311191651	M	1869	1948	Spletke	Povest iz nedavnih časov	1894	2015-04-03	T3	short	low	38346	48358
SLV00092	Štrukelj, Ivan	conor:311191651	M	1869	1948	Zmota in povrat	Povest	1892	2015-04-03	T3	short	low	33125	40787
SLV00094	Bartel, Anton	viaf:10824798	M	1853	1938	Pomladanski vetrovi	Povest iz časov francoskih vojsk	1881	2015-04-03	T3	medium	low	65078	77471
SLV00098	Koder, Anton	viaf:172847595	M	1851	1918	Luteranci	Historičen roman	1883	2015-04-03	T3	short	low	42304	49623
SLV00099	Koder, Anton	viaf:172847595	M	1851	1918	Marjetica	Izviren roman	1877	2015-04-03	T2	medium	high	61821	74106
SLV00103	Koder, Anton	viaf:172847595	M	1851	1918	Zvezdana	Roman	1883	2015-04-03	T3	short	low	30976	36734
SLV00111	Detela, Fran	viaf:61405029	M	1850	1926	Pegam in Lambergar	Povest	1891	2015-04-03	T3	medium	high	62307	76372
SLV00112	Detela, Fran	viaf:61405029	M	1850	1926	Veliki grof	Zgodovinski roman	1885	2015-04-03	T3	short	high	45282	54994
SLV00122	Podmilšak, Josip	viaf:305144647704454014387	M	1845	1874	Žalost in veselje	Povest za prosto ljudstvo	1870	2015-04-03	T2	medium	low	76718	92374
SLV00126	Jaklič, Fran	viaf:55376955	M	1868	1937	Ljudska osveta	Povest	1892	2015-04-03	T3	short	low	31513	39913
SLV00132	Maselj Podlimbarski, Fran	viaf:24474637	M	1852	1917	Gorski potoki	Povest Ivana Gorca	1895	2015-04-03	T3	short	low	34465	41941
SLV00135	Janežič-Kraljev, Ivan	viaf:68374219	M	1855	1922	Gospa s pristave	Zgodovinski roman	1894	2015-04-03	T3	medium	low	96199	113863
SLV00136	Tavčar, Ivan	viaf:100298803	M	1851	1923	4000	Času primerna povest iz prihodnjih dob	1891	2015-04-03	T3	short	high	34058	42684
SLV00172	Sket, Jakob	viaf:93569857	M	1852	1912	Milko Vogrin	Novela	1883	2015-04-03	T3	medium	low	76218	89930
SLV00174	Mencinger, Janez	viaf:53025627	M	1838	1912	Abadon	Bajka za starce	1893	2015-04-03	T3	medium	high	93032	109888
SLV00187	Kersnik, Janko	viaf:34746806	M	1852	1897	Agitator	Roman	1885	2015-04-03	T3	short	high	26209	33317
SLV00194	Kersnik, Janko	viaf:34746806	M	1852	1897	Na Žerinjah	Izviren roman	1876	2015-04-03	T2	short	high	32442	40362
SLV00216	Jurčič, Josip	viaf:54483391	M	1844	1881	Rokovnjači	Historičen roman	1881	2015-04-03	T3	short	high	49437	60574
SLV00217	Jurčič, Josip	viaf:54483391	M	1844	1881	Slovenski svetec in učitelj	Zgodovinski roman. Fragment	1886	2015-04-03	T3	short	high	43149	51434
SLV00227	Pesjak, Luiza	viaf:307425009	F	1828	1898	Beatin dnevnik	Roman	1887	2015-04-03	T3	short	low	29468	37603
SLV00231	Pajk, Pavlina	viaf:260393202	F	1854	1901	Arabela	Roman	1885	2015-04-03	T3	short	low	38865	48122
SLV00234	Pajk, Pavlina	viaf:260393202	F	1854	1901	Dušne borbe		1896	2015-04-03	T3	short	low	25993	31690
SLV00240	Pajk, Pavlina	viaf:260393202	F	1854	1901	Slučaji usode	Roman	1897	2015-04-03	T3	medium	high	57497	69302
SLV00273	Finžgar, Fran Saleški	viaf:56648253	M	1871	1962	Kvišku		1899	2015-04-03	T3	short	low	41274	50742
SLV00278	Detela, Fran	viaf:61405029	M	1850	1926	Trojka	Povest	1897	2015-04-03	T3	medium	high	78503	99282
SLV00279	Jurčič, Josip	viaf:54483391	M	1844	1881	Cvet in sad	Izviren roman	1877	2015-04-03	T2	medium	high	50187	61721
SLV00310	Maselj Podlimbarski, Fran	viaf:24474637	M	1852	1917	Potresna povest		1903	2015-04-03	T4	short	low	36649	43576
SLV00324	Tavčar, Ivan	viaf:100298803	M	1851	1923	Cvetje v jeseni		1917	2015-04-03	T4	short	high	26341	32276
SLV00325	Šorli, Ivo	viaf:316497598	M	1877	1958	Štefan Zaplotnik	Povest veselega človeka	1916	2015-04-03	T4	short	low	33658	40600
SLV00345	Levstik, Vladimir	viaf:53731964	M	1886	1957	Blagorodje doktor Ambrož Čander	Imaginarna karikatura	1909	2015-04-03	T4	medium	low	49752	61518
SLV00352	Fatur, Lea	viaf:170052698	F	1865	1943	Komisarjeva hči	Zgodovinska povest	1910	2015-04-03	T4	medium	low	58619	74001
SLV00355	Kraigher, Alojz	viaf:44335953	M	1877	1959	Mlada ljubezen		1917	2015-04-03	T4	medium	high	76375	95960
SLV00363	Detela, Fran	viaf:61405029	M	1850	1926	Malo življenje	Povest	1882	2015-04-03	T3	medium	low	56381	71485
SLV00364	Detela, Fran	viaf:61405029	M	1850	1926	Novo življenje	Povest	1908	2015-04-03	T4	short	high	43378	54957
SLV00373	Jaklič, Fran	viaf:55376955	M	1868	1937	O, ta testament	Novela	1900	2015-04-03	T4	medium	low	56879	73837
SLV00391	Zbašnik, Fran	viaf:84281491	M	1855	1935	Pisana mati	Povest	1909	2015-04-03	T4	medium	low	69981	83950
SLV00398	Cankar, Ivan	viaf:56657726	M	1876	1918	Martin Kačur	Življenjepis idealista	1906	2015-04-03	T4	short	high	40479	51221
SLV00401	Cankar, Ivan	viaf:56657726	M	1876	1918	Na klancu		1902	2015-04-03	T4	medium	high	59156	70637
SLV00406	Tavčar, Ivan	viaf:100298803	M	1851	1923	Izza kongresa	Zgodovinski roman	1905	2015-04-03	T4	medium	high	94731	118027
SLV00410	Cankar, Ivan	viaf:56657726	M	1876	1918	Tujci		1901	2015-04-03	T4	short	high	43963	52561
SLV00417	Pregelj, Ivan	viaf:22231284	M	1883	1960	Tlačani	Roman iz osemnajstega stoletja	1915	2015-04-03	T4	medium	high	71382	90586
SLV00421	Trošt, Ivo	viaf:16146824501407630124	M	1865	1937	Temni oblaki	Povest	1895	2015-04-03	T3	short	low	31999	38717
SLV00425	Gruden, Josip	viaf:68284771	M	1869	1922	Na vojvodskem prestolu	Povest iz slovenske starodavnosti	1901	2015-04-03	T4	short	low	32494	38680
SLV00452	Prelesnik, Matija	viaf:3285157470199222640002	M	1872	1905	Naš stari greh	Polabska povest	1903	2015-04-03	T4	medium	low	63120	76335
SLV00454	Prelesnik, Matija	viaf:3285157470199222640002	M	1872	1905	V smrtni senci	Baltiška povest	1904	2015-04-03	T4	medium	low	70584	85771
SLV00455	Malovrh, Miroslav	viaf:233014487	M	1861	1922	Kralj Matjaž	Zgodovinska povest	1904	2015-04-03	T4	medium	low	61361	71513
SLV00456	Malovrh, Miroslav	viaf:233014487	M	1861	1922	Ljubezen in junaštva strahopetnega praporščaka	Roman	1910	2015-04-03	T4	short	low	31133	37549
SLV00458	Malovrh, Miroslav	viaf:233014487	M	1861	1922	Pod novim orlom	Zgodovinska povest	1904	2015-04-03	T4	medium	low	65356	77129
SLV00459	Malovrh, Miroslav	viaf:233014487	M	1861	1922	Strahovalci dveh kron	Zgodovinska povest	1907	2015-04-03	T4	medium	low	91107	106778
SLV00460	Malovrh, Miroslav	viaf:233014487	M	1861	1922	V študentskih ulicah	Ljubezenska povest	1909	2015-04-03	T4	short	low	48883	58326
SLV00461	Malovrh, Miroslav	viaf:233014487	M	1861	1922	Zadnji rodovine Benalja	Povest	1909	2015-04-03	T4	short	low	40100	47921
SLV00473	Murnik, Rado	viaf:66026290	M	1870	1932	Groga in drugi		1895	2015-04-03	T3	medium	high	66904	84127
SLV00476	Murnik, Rado	viaf:66026290	M	1870	1932	Na Bledu		1917	2015-04-03	T4	short	low	34289	42502
SLV00478	Levstik, Vladimir	viaf:53731964	M	1886	1957	Gadje gnezdo	Povest iz dni trpljenja in nad	1918	2015-04-03	T4	short	high	38316	48538
SLV00483	Levstik, Vladimir	viaf:53731964	M	1886	1957	Za svobodo in ljubezen	Roman z Balkana	1913	2015-04-03	T4	long	low	124431	151810
SLV00496	Finžgar, Fran Saleški	viaf:56648253	M	1871	1962	Iz modernega sveta	Roman	1904	2015-04-03	T4	medium	high	60904	75571
SLV00497	Finžgar, Fran Saleški	viaf:56648253	M	1871	1962	Moja duša vasuje		1903	2015-04-03	T4	short	high	31040	38083
SLV00498	Finžgar, Fran Saleški	viaf:56648253	M	1871	1962	Sama	Povest	1912	2015-04-03	T4	medium	high	49703	63482
SLV00502	Fatur, Lea	viaf:170052698	F	1865	1943	V burji in strasti	Povest	1905	2015-04-03	T4	short	low	34759	42057
SLV00506	Fatur, Lea	viaf:170052698	F	1865	1943	Za Adrijo	Povest iz uskoško-benečanskih bojev	1909	2015-04-03	T4	long	low	101176	127469
SLV00526	Murnik, Rado	viaf:66026290	M	1870	1932	Hči grofa Blagaja	Roman	1911	2015-04-03	T4	long	low	112663	137306
SLV10001	Cankar, Ivan	viaf:56657726	M	1876	1918	Hiša Marije Pomočnice		1904	2019	T4	short	high	29977	36148
SLV10002	Carli Lukovič, Alojz	viaf:50937590	M	1846	1891	Zadnji dnevi v Ogleju	Izviren roman iz petega stoletja	1876	2009	T2	short	low	35950	45253
SLV10003	Cigler, Janez	viaf:247997342	M	1792	1867	Sreča v nesreči	Popisovanje čudne zgodbe dveh dvojčkov	1836	2007	T1	short	high	33662	40818
SLV10004	Fajdiga, Ivan	viaf:6786157470209622640003	M	1854	1935	Nebesa	Roman	1905	2019	T4	short	low	37544	46950
SLV10005	Finžgar, Fran Saleški	viaf:56648253	M	1871	1962	Pod svobodnim soncem		1907	2019	T4	long	high	139037	171094
SLV10006	Jelenc, Vitomir Feodor	viaf:66265062	M	1885	1922	Žena	Roman	1910	2018	T4	short	low	37870	43373
SLV10007	Jurčič, Josip	viaf:54483391	M	1844	1881	Deseti brat	Izvirni roman	1866	2008	T2	medium	high	66498	81046
SLV10008	Jurčič, Josip	viaf:54483391	M	1844	1881	Med dvema stoloma	Izviren roman	1876	2008	T2	short	high	21472	26831
SLV10009	Jurčič, Josip	viaf:54483391	M	1844	1881	Doktor Zober	Izviren roman	1876	2008	T2	short	high	34290	41658
SLV10010	Jurčič, Josip	viaf:54483391	M	1844	1881	Ivan Erazem Tatenbah	Izviren historičen roman iz sedemnajstega veka slovenske zgodovine	1873	2008	T2	short	high	22387	27059
SLV10011	Jurčič, Josip	viaf:54483391	M	1844	1881	Lepa Vida	Roman	1877	2007	T2	short	high	21057	26316
SLV10012	Koder, Anton	viaf:172847595	M	1851	1918	Kmetski triumvirat	Historičen roman	1884	2011	T3	short	low	43082	50544
SLV10013	Kovačič, Ivo	viaf:81042077	M	1873	1936	Mladi gozdar	Izvirni roman	1904	2018	T4	short	low	25291	32572
SLV10014	Kveder, Zofka	viaf:1223577	F	1878	1926	Nada		1907	2013	T4	short	high	41907	50967
SLV10015	Kveder, Zofka	viaf:1223577	F	1878	1926	Njeno življenje	Povest	1914	2008	T4	medium	high	58697	71729
SLV10016	Mahnič, Anton	viaf:32798590	M	1850	1920	Zadnji samotar	Izviren zgodovinski roman	1886	2015	T3	medium	low	75230	90851
SLV10017	Malovrh, Miroslav	viaf:233014487	M	1861	1922	Tolovajski glavar Črni Jurij in njegovi divji tovariši	Ljudski roman	1903	2017	T4	long	low	257555	338050
SLV10018	Maselj Podlimbarski, Fran	viaf:24474637	M	1852	1917	Gospodin Franjo	Roman	1913	2008	T4	long	high	173235	210497
SLV10019	Milčinski, Fran	viaf:72324490	M	1867	1932	Ptički brez gnezda		1917	2015	T4	medium	high	78218	96232
SLV10020	Nadlišek, Marica	viaf:6737472	F	1867	1940	Fata morgana		1898	2018	T3	short	low	41611	51231
SLV10021	Pajk, Pavlina	viaf:260393202	F	1854	1901	Judita	Roman	1896	2018	T3	short	low	22929	28228
SLV10022	Prepeluh, Albin	viaf:79068165	M	1881	1937	Mina	Roman	1910	2019	T4	short	low	33155	39841
SLV10023	Stritar, Josip	viaf:70948422	M	1836	1923	Zorin		1870	2011	T2	short	high	27899	33944
SLV10024	Stritar, Josip	viaf:70948422	M	1836	1923	Sodnikovi		1875	2009	T2	medium	high	51644	63525
SLV10025	Stritar, Josip	viaf:70948422	M	1836	1923	Gospod Mirodolski		1876	2013	T2	medium	high	54423	67759
SLV10026	Tavčar, Ivan	viaf:100298803	M	1851	1923	Visoška kronika	Svoji ženi Frančiški, sedanji Visošci, poklanja Emil Leon. 1695.	1919	2008	T4	medium	high	58720	70058
SLV10027	Vodeb, Emil	viaf:6604157470209022640002	M	1880	1921	Libera nos a malo	Zgodovinski roman	1911	2011	T4	short	low	36221	43412
SLV10028	Vošnjak, Josip	viaf:55300280	M	1834	1911	Pobratimi	Roman	1889	2019	T3	medium	low	53817	65426
SLV10029	Kersnik, Janko	viaf:34746806	M	1852	1897	Rošlin in Vrjanko	Povest	1889	2018	T3	short	high	30841	39710
SLV10030	Govekar, Fran	viaf:51812691	M	1871	1949	Svitanje	Roman	1921	2020	T4	long	low	124090	151957
SLV10031	Lah, Ivan	viaf:101581601	M	1881	1938	Brambovci	Zgodovinski roman	1911	2019	T4	long	low	141412	168592
SLV10032	Zbašnik, Fran	viaf:84281491	M	1855	1935	Z viharja v zavetje	Roman iz življenja preproste deklice	1900	2019	T4	medium	low	90135	108802
SLV20001	Kočevar, Ferdo	viaf:172466996	M	1833	1878	Mlinarjev Janez	Po narodni pripovedki iz srede petnajstoga stoletja	1859	2019	T1	short	high	31137	37698
SLV20002	Sket, Jakob	viaf:93569857	M	1852	1912	Miklova Zala	Povest iz turških časov	1884	2015	T3	short	high	34023	39972
SLV30001	Cankar, Izidor	viaf:51848354	M	1886	1958	S poti		1913	2007	T4	short	high	26930	34000
